,Date,Open,High,Low,Close,Volume,Adjusted,Diff,RSI,Typical Price,MF,MFI,EMA,SO,EMA12,EMA26,MACD,Signal Line
0,2007-01-02,56.724998,56.724998,55.637501,55.950001,901560,12.835856,,,56.104166666666664,50581272.5,,,,,,,
1,2007-01-03,56.0,56.237499,55.75,56.006199,1122184,12.84875,0.05619800000000197,,55.99789933333333,62839946.66547733,,,,,,,
2,2007-01-04,57.0,61.0,57.0,58.737499,4020560,13.475357,2.7312999999999974,,58.91249966666667,236861239.65981334,,,,,,,
3,2007-01-05,60.462502,61.700001,59.256199,59.4813,2206680,13.645997,0.7438009999999977,,60.145833333333336,132722607.5,,,,,,,
4,2007-01-08,59.712502,60.375,58.025002,58.431301,561528,13.405109,-1.0499989999999997,,58.943767666666666,33098575.970328,,,,,,,
5,2007-01-09,59.337502,59.375,58.125,58.387501,753224,13.395062,-0.0437999999999974,,58.629166999999995,44160895.684407994,,,,,,,
6,2007-01-10,58.75,59.125,55.625,55.8438,1599224,12.811494,-2.5437009999999987,,56.864599999999996,90939233.0704,,,0.0360164549767155,,,,
7,2007-01-11,56.875,58.474998,56.625,57.368801,1151040,13.161354000000001,1.525000999999996,,57.48959966666666,66172828.80032,,,0.28704538484849595,,,,
8,2007-01-12,58.75,61.125,57.9375,60.650002,4785576,13.91412,3.281201000000003,,59.90416733333333,286675945.490384,,,0.8271606868871297,,,,
9,2007-01-15,60.0,61.875,59.4813,59.806301,949928,13.720559,-0.8437010000000029,,60.38753366666666,57363809.08090933,,128.73295659255652,0.6690081599999996,,,,
10,2007-01-16,60.012501,60.612499,57.25,57.637501,2177456,13.222999,-2.1687999999999974,,58.5,127381176.0,,128.85835468855115,0.32200016000000004,,,,
11,2007-01-17,59.0,60.0,58.75,59.412498,1072648,13.630212,1.774996999999999,,59.38749933333333,63701882.38490133,,129.55461126969755,0.6059996799999999,144.61623013802233,,,
12,2007-01-18,59.512501,62.0,59.237499,61.618801,4160488,14.136376,2.2063029999999983,,60.9521,253590480.6248,,130.47134434676576,0.9402040784313722,145.91107017621894,,,
13,2007-01-19,62.25,63.3125,61.375,61.862499,1448480,14.192283999999999,0.24369800000000197,,62.183333000000005,90071314.18384,,131.25072290380677,0.7831774205607476,147.18577064105892,,,
14,2007-01-22,62.25,62.25,60.375,61.9062,804640,14.20231,0.04370099999999866,50.70108461418496,61.510400000000004,49493728.256000005,66.16123582532865,132.1272338004652,0.7680329896907214,147.97380990251358,,,
15,2007-01-23,61.75,61.875,60.25,61.487499,5391040,14.106252,-0.41870099999999866,50.64462778380303,61.20416633333334,329954108.86965334,56.43020867806188,132.80385725235993,0.6989689072164947,148.46985321170874,,,
16,2007-01-24,60.5,60.75,59.5312,60.275002,1124480,13.828087,-1.212496999999999,50.62524476005286,60.18540066666666,67677279.34165333,55.666074164387744,133.45390176860622,0.49896940206185575,148.7444918397379,,,
17,2007-01-25,60.275002,63.287498,59.762501,62.193699,6292536,14.268267000000002,1.9186970000000017,50.78527225730389,61.74789933333333,388550879.47937596,61.48590411273149,134.45856834598524,0.754783342465754,149.57554274822976,,,
18,2007-01-29,61.875,64.368797,61.506199,62.2812,2891184,14.288341,0.08750099999999605,50.83687154860074,62.71873200000001,181331394.45868802,59.0520676887401,134.90487737284445,0.5931639518889759,150.77824102268875,,,
19,2007-01-31,63.5,63.724998,61.262501,61.950001,1420888,14.212356,-0.331198999999998,50.58619503623968,62.3125,88539083.5,57.59336654395899,135.33920858815833,0.5000005167855034,151.59671665568717,,,
20,2007-02-01,61.75,62.0,61.25,61.881199,480840,14.196570999999999,-0.06880199999999803,50.16696952822375,61.71039966666667,29672828.57572,59.62677858820996,136.06977093400587,0.4857781663086038,151.85435877465002,,,
