"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2007-02-27,327.914,330.139,316.496,61.144402,1710549,11.602232
2007-02-28,318.545,324.401,305.839,60.355598,3741120,11.452556
2007-03-01,319.717,322.059,311.519,59.577801,3437334,11.304966
2007-03-02,310.348,323.113,304.609,58.411098,1299357,11.083586
2007-03-05,305.663,307.947,283.529,54.7556,3729272,10.389948
2007-03-06,286.925,302.501,286.925,56.944401,1366060,10.805276
2007-03-07,298.637,303.321,279.02,54,2187022,10.246572
2007-03-08,285.403,289.268,283.412,54.211102,857151,10.28663
2007-03-09,283.412,292.722,282.241,53.977798,491746,10.242358
2007-03-12,286.925,296.236,286.925,55.6222,2063484,10.554385
2007-03-13,293.952,300.51,293.952,56.722198,1601428,10.763111
