"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2007-02-22,36.881,36.881,36.109,7.16927,6076485,1.41192
2007-02-23,36.716,36.771,35.87,7.17289,4060573,1.412633
2007-02-26,36.661,38.94,36.256,7.40462,5620748,1.45827
2007-02-27,37.874,38.793,37.286,7.39014,2680384,1.455419
2007-02-28,36.661,36.661,32.175,7.01719,2143492,1.381969
2007-03-01,35.668,36.661,35.392,7.03168,897001,1.384823
2007-03-02,35.999,36.219,34.565,6.90495,997088,1.359864
2007-03-05,35.116,35.116,31.825,6.48855,2397908,1.277859
2007-03-06,34.362,34.362,32.781,6.63701,1638651,1.307096
2007-03-07,34.197,34.197,31.991,6.3401,2362557,1.248623
2007-03-08,32.505,33.645,32.469,6.60442,1412116,1.300678
2007-03-09,33.829,34.197,33.094,6.68046,1328019,1.315653
2007-03-12,34.105,34.289,33.112,6.62252,1109866,1.304243
2007-03-13,33.609,33.792,32.653,6.45958,662995,1.272153
2007-03-14,32.027,32.91,31.623,6.45234,2471593,1.270727
2007-03-15,32.763,33.278,32.726,6.44872,583897,1.270015
2007-03-16,32.744,33.094,32.726,6.48131,311792,1.276433
2007-03-19,33.002,33.645,33.002,6.55735,604707,1.291408
2007-03-20,33.627,33.719,33.149,6.57183,1571637,1.29426
2007-03-21,33.811,34.197,33.094,6.66959,1435840,1.313513
2007-03-22,34.528,34.785,33.829,6.73115,1249419,1.325636
2007-03-23,34.013,35.76,33.848,6.97737,1987907,1.374127
2007-03-26,33.829,36.955,33.829,7.06789,1671945,1.391954
2007-03-28,35.888,36.403,34.951,7.03168,1497358,1.384823
2007-03-29,35.98,36.33,35.705,7.09685,1338942,1.397658
2007-03-30,36.054,36.514,36.054,7.14754,838934,1.40764
2007-04-02,33.425,35.649,33.425,6.67321,2975136,1.314226
2007-04-03,33.903,34.546,33.866,6.73477,390862,1.326349
2007-04-04,34.381,35.043,34.381,6.8796,557453,1.354872
2007-04-05,35.043,35.3,34.749,6.89046,666102,1.357011
2007-04-09,35.116,35.668,34.712,6.88322,534793,1.355585
2007-04-10,35.006,35.41,34.565,6.89771,977618,1.358439
2007-04-11,35.006,35.484,34.399,6.84339,1413193,1.347741
2007-04-12,34.601,35.098,34.381,6.81805,720150,1.34275
2007-04-13,35.079,35.135,34.454,6.82167,1289700,1.343464
2007-04-16,35.171,35.263,34.491,6.81443,1213888,1.342038
2007-04-17,35.245,35.3,34.601,6.88684,1168333,1.356298
2007-04-18,34.951,35.116,34.767,6.8796,1002570,1.354872
2007-04-19,34.914,35.116,34.565,6.89046,831436,1.357011
2007-04-20,34.988,35.484,34.932,6.92305,1134598,1.363429
2007-04-23,36.587,36.587,34.27,6.80719,4649262,1.340612
2007-04-24,34.932,36.955,34.932,7.24169,5635745,1.426182
2007-04-25,36.808,38.242,36.808,7.4517,3256838,1.467542
2007-04-26,38.242,38.426,36.587,7.24531,1404231,1.426895
2007-04-27,37.175,37.69,36.808,7.39376,1673326,1.456131
2007-04-30,36.771,39.51,36.495,7.60377,2548826,1.497491
2007-05-03,39.639,40.209,38.793,7.81378,2863794,1.53885
2007-05-04,40.044,40.632,38.977,7.69791,997861,1.516031
2007-05-07,40.338,40.338,38.609,7.63636,770332,1.503909
2007-05-08,38.775,39.124,38.279,7.58205,708109,1.493213
2007-05-09,38.426,38.977,38.279,7.6255,1421823,1.50177
2007-05-10,38.793,39.087,38.426,7.60377,869121,1.497491
2007-05-11,38.426,38.775,38.426,7.61101,852619,1.498917
2007-05-14,39.014,39.345,38.426,7.59291,663713,1.495352
2007-05-15,38.646,39.345,38.609,7.66895,1289727,1.510327
2007-05-16,39.308,39.713,38.628,7.70515,1987078,1.517457
2007-05-17,39.179,39.345,38.609,7.61825,1492332,1.500342
2007-05-18,38.683,38.94,36.624,7.23807,3700008,1.42547
2007-05-21,37.488,38.426,37.322,7.37928,1858890,1.453279
2007-05-22,37.506,37.801,37.194,7.38652,897829,1.454705
2007-05-23,37.414,37.892,37.231,7.37566,856748,1.452566
2007-05-24,37.451,37.506,36.808,7.29962,393196,1.437591
2007-05-25,36.219,37.874,36.219,7.39376,514604,1.456131
2007-05-28,37.874,38.04,36.992,7.37928,599860,1.453279
2007-05-29,37.359,37.488,36.642,7.28876,633747,1.435452
2007-05-30,36.955,37.47,36.771,7.26703,755017,1.431173
2007-05-31,36.992,37.506,36.55,7.296,537665,1.436878
2007-06-01,37.01,38.223,36.881,7.47704,1634868,1.472532
2007-06-04,38.242,38.242,37.69,7.49152,1435660,1.475384
2007-06-05,37.966,38.021,37.525,7.45894,4677060,1.468968
2007-06-06,37.874,38.242,37.837,7.46256,937282,1.469681
2007-06-07,37.874,37.874,36.403,7.23082,1588953,1.424042
2007-06-08,36.808,36.808,35.41,7.23445,926234,1.424757
2007-06-11,36.771,37.194,36.422,7.23445,1231053,1.424757
2007-06-12,36.9,37.506,36.422,7.23445,856375,1.424757
2007-06-13,36.734,36.955,36.569,7.24169,1137939,1.426182
2007-06-14,37.139,37.139,36.587,7.24893,1090105,1.427608
2007-06-15,37.433,38.426,37.322,7.50963,2145246,1.478951
2007-06-18,38.757,40.08,38.26,7.55308,1156830,1.487508
2007-06-19,37.929,38.315,37.598,7.52411,1026777,1.481802
2007-06-20,38.334,45.559,38.315,8.4945,17212647,1.672912
2007-06-21,31.139,32.177,29.063,8.80589,13358186,2.457499
2007-06-22,31.632,32.929,30.62,8.99055,7656628,2.509032
2007-06-25,32.177,32.242,31.139,8.84572,1590790,2.468614
2007-06-26,31.904,32.177,31.32,8.93986,1186726,2.494886
2007-06-27,31.917,32.112,31.268,8.79865,732371,2.455478
2007-06-28,31.839,32.229,31.035,8.76606,1185290,2.446383
2007-06-29,31.904,33.474,31.567,9.23315,2035907,2.576735
2007-07-02,33.409,37.289,33.241,9.9537,8840081,2.777823
2007-07-03,35.978,36.471,34.058,9.62058,3323314,2.684857
2007-07-04,34.629,35.42,33.786,9.67127,3258440,2.699004
