"Date","HBSTOCK.NS.Open","HBSTOCK.NS.High","HBSTOCK.NS.Low","HBSTOCK.NS.Close","HBSTOCK.NS.Volume","HBSTOCK.NS.Adjusted"
2007-09-28,38.5,41.599998,38.299999,40.099998,9176,36.069847
2007-10-01,40.950001,41.599998,40.25,40.599998,10520,36.519596
2007-10-03,40,41.650002,39.099998,39.900002,14149,35.889954
2007-10-04,38.200001,39.950001,38.200001,39,4400,35.080402
2007-10-05,38,38.900002,37.150002,37.349998,4000,33.59623
2007-10-08,37,38.450001,36.099998,37.849998,7100,34.045979
2007-10-09,37.099998,39.75,37,39.349998,5339,35.395226
2007-10-10,40.950001,41.349998,39.349998,40.25,110158,36.204773
2007-10-11,42.299999,42.299999,41.5,42.25,67384,38.003769
2007-10-12,44,44.400002,42,44.400002,35600,39.937691
2007-10-15,44.599998,46.650002,44.599998,46.650002,5900,41.961559
2007-10-16,49,49,47.049999,49,54900,44.075378
2007-10-17,46.549999,49,46.549999,47.549999,27779,42.771107
2007-10-18,49.900002,49.950001,46.299999,48.650002,27225,43.760555
2007-10-19,50,51.099998,46.25,50.650002,32340,45.559551
2007-10-22,50.299999,53.200001,48.549999,49.650002,38027,44.660053
2007-10-23,48,52.150002,48,49.5,21045,44.525127
2007-10-24,50,51.450001,48.75,49.099998,13925,44.165325
2007-10-25,47.400002,49.5,47.400002,48.049999,15925,43.220856
2007-10-26,49,50,47.700001,48.549999,16092,43.670605
2007-10-29,49.849998,49.900002,47,48.599998,33863,43.715576
2007-10-30,48.400002,49,47.200001,47.849998,18914,43.040955
2007-10-31,47.599998,49.400002,47.599998,48.5,17500,43.625629
2007-11-01,48.5,48.799999,46.400002,46.849998,8328,42.141457
2007-11-02,44.549999,46,44.549999,44.799999,12137,40.297489
2007-11-05,44.299999,46.5,44.299999,45.950001,8414,41.331913
2007-11-06,47.900002,47.900002,45.599998,46.099998,11500,41.466835
2007-11-07,45.049999,47.75,44.150002,46.549999,7448,41.871609
2007-11-08,42,47.849998,42,46.200001,7516,41.556786
2007-11-12,44.549999,47.599998,44.549999,45.900002,9227,41.286938
2007-11-13,44,46.650002,44,46.299999,3800,41.646732
2007-11-14,47,48.400002,47,47.150002,2300,42.411308
2007-11-15,48,51.900002,48,51.900002,22900,46.683922
2007-11-16,52.5,57.099998,52.5,57.099998,23100,51.361305
2007-11-19,61.400002,62.849998,61,62.849998,6900,56.533417
2007-11-20,66,66,66,66,13700,59.366837
2007-11-21,69.300003,69.300003,62.700001,62.700001,54100,56.398495
2007-11-22,64,64,60.099998,60.950001,11518,54.824375
2007-11-23,63.299999,63.599998,59.200001,63.599998,19700,57.208038
2007-11-26,65,66.800003,65,66.800003,15071,60.086437
