"Date","M&M.NS.Open","M&M.NS.High","M&M.NS.Low","M&M.NS.Close","M&M.NS.Volume","M&M.NS.Adjusted"
2007-05-09,188,190.011993,184.024994,189.311996,2073904,129.718643
2007-05-10,190.25,191.225006,185,185.811996,3743848,127.320419
2007-05-11,184.5,184.5,177.25,180.074997,5710536,123.389343
2007-05-14,183.5,183.75,180.625,182,2152376,124.708374
2007-05-15,182.75,183.25,177.75,179.061996,3319804,122.695236
2007-05-16,180.5,181.75,178,180.125,5114680,123.423607
2007-05-17,181,183.175003,178.688004,182.024994,5322760,124.72551
2007-05-18,183.625,183.75,180.024994,183.149994,3739080,125.496384
2007-05-21,183.800003,184.350006,181.350006,182.811996,2393536,125.264771
2007-05-22,181.5,186.511993,180.087006,183.524994,3227520,125.753342
2007-05-23,183.524994,185.238007,181.837006,183.850006,4944424,125.976013
2007-05-24,182.5,184.725006,182,183.712006,3769212,125.88147
2007-05-25,180.5,183.75,177.587006,182.962006,3351248,125.367577
2007-05-28,185.925003,186.350006,183.25,184.875,3339012,126.67836
2007-05-29,186.25,193.125,185.087006,191.462006,5621236,131.191849
2007-05-30,192.225006,192.350006,186.925003,187.561996,3528784,128.519531
2007-05-31,187.5,191.75,187.050003,189.363007,3718024,129.753601
2007-06-01,191.212006,192.274994,187.787994,190.399994,4052880,130.464157
2007-06-04,191.725006,195.675003,186.787994,187.837006,3625848,128.707977
2007-06-05,189.925003,189.925003,187.300003,188.125,2760780,128.905289
2007-06-06,193.761993,193.761993,183.837006,186.475006,3627476,127.774719
2007-06-07,175.311996,187.912994,175.311996,185.113007,1683316,126.841461
2007-06-08,185,185,178.024994,179.324997,2910700,122.87545
2007-06-11,181.25,182,178.787994,179.75,1652492,123.166649
2007-06-12,181.25,181.25,172.5,173.837006,2997176,119.115021
2007-06-13,173.25,176.199997,169.875,171.475006,3603356,117.496544
2007-06-14,173.75,176.175003,173,175.024994,2410788,119.929031
2007-06-15,176.75,178.5,174.425003,175.087006,1526580,119.971512
2007-06-18,176.25,178.675003,172.75,173.425003,2011540,118.83271
2007-06-19,173.25,175.875,171.625,175.25,3293876,120.083199
2007-06-20,177,180.125,175.75,178.363007,2581488,122.21627
2007-06-21,178.75,183.25,178.100006,182.300003,3980492,124.91394
2007-06-22,176.363007,185,176.337006,182.863007,3830512,125.299728
2007-06-25,184.675003,187.300003,180.75,185.475006,3095432,127.089485
2007-06-26,181.75,186.850006,181.75,185.024994,2103716,126.78112
2007-06-27,185.125,185.125,178.75,179.811996,1182596,123.20916
2007-06-28,182,182,176,176.699997,2170068,121.076759
2007-06-29,177.25,182.600006,176.774994,180.787994,2378316,123.877907
2007-07-02,182,186.125,180,182.899994,2712904,125.325066
2007-07-03,183.613007,185.925003,183.274994,183.925003,2695696,126.02742
2007-07-04,185.925003,187.5,184,187.225006,2169048,128.288605
2007-07-05,185.25,193.074997,185.011993,192.462006,6218628,134.756073
2007-07-06,187.800003,199.238007,175.311996,196.912994,5188216,137.872559
2007-07-09,198.75,198.75,194.125,194.800003,1976620,136.393097
2007-07-10,194.375,197.774994,194.25,196.886993,3178708,137.854324
2007-07-11,196.5,197.975006,192.587006,195.274994,2520052,136.725647
2007-07-12,196.5,202.75,193,200.550003,5058520,140.419083
2007-07-13,204,208.074997,202.25,206.386993,4961644,144.505936
2007-07-16,207.5,209.675003,202.238007,206.238007,2643360,144.401627
2007-07-17,206.25,206.75,198.5,200.136993,4874364,140.129883
2007-07-18,199.5,202.5,197.587006,201.636993,2023616,141.180161
2007-07-19,202.449997,206.238007,197.75,203.625,3686388,142.572083
2007-07-20,205.975006,207.5,204.261993,206.636993,2893916,144.681
2007-07-23,204.261993,208.011993,200.587006,206.386993,2073984,144.505936
2007-07-24,206.5,207.25,198,198.75,2452604,139.158752
2007-07-25,197.5,198.75,193.837006,195.386993,1636076,136.804062
2007-07-26,195.600006,202.5,195.600006,200.863007,2603560,140.638229
2007-07-27,198.75,198.75,192.75,195.011993,2431332,136.541504
2007-07-30,197.024994,197.024994,184.537994,187.625,5261248,131.369354
2007-07-31,186.587006,191.25,178.511993,182.199997,6562580,127.57093
2007-08-01,182.550003,182.550003,172.5,173.324997,5315888,121.356934
2007-08-02,174.75,175.625,167.324997,168.962006,5552184,118.302086
2007-08-03,171.25,174.675003,168.75,169.587006,2518356,118.7397
2007-08-06,168.675003,171.25,163.5,169.938004,3331108,118.985474
2007-08-07,174.425003,174.425003,168.75,169.5,2529204,118.678787
2007-08-08,170.25,173.725006,170,172.488007,3010248,120.77092
2007-08-09,172.475006,175.25,171.488007,172.061996,4361044,120.472618
2007-08-10,163.061996,169.5,163.061996,167.787994,1955044,117.480087
2007-08-13,169,172.875,168.024994,172.412994,3133436,120.718376
2007-08-14,173.100006,173.75,168.875,169.712006,3896160,118.827209
2007-08-16,163.662994,166,156.5,163.475006,3339864,114.460266
2007-08-17,162.25,165.25,156.574997,162.738007,3975812,113.944244
2007-08-20,166.25,168.75,159.561996,160.625,4752648,112.464767
2007-08-21,160.875,162.5,152.087006,153.636993,5670292,107.571983
2007-08-22,154.024994,158.699997,153.5,157.261993,2131788,110.110107
2007-08-23,159.412994,164.988007,153.824997,155.475006,2091408,108.85891
2007-08-24,151.25,160.5,147.912994,160.011993,1340756,112.035576
2007-08-27,164.5,165.162994,161,164.511993,1586412,115.18634
2007-08-28,164.75,167.225006,162.5,164.300003,1242300,115.037903
2007-08-29,161.324997,164.75,159.511993,163.600006,1438212,114.547798
2007-08-30,162.524994,170.475006,162.524994,169.25,3763632,118.503738
2007-08-31,169.25,180.613007,169.25,177.024994,4969116,123.947548
2007-09-03,178,181.475006,175.774994,180.050003,4080908,126.065575
