"Date","CAPPIPES.BO.Open","CAPPIPES.BO.High","CAPPIPES.BO.Low","CAPPIPES.BO.Close","CAPPIPES.BO.Volume","CAPPIPES.BO.Adjusted"
2016-09-16,77,77.5,70,70,9000,70
2016-09-19,70,70,70,70,0,70
2016-09-20,79,79,79,79,3000,79
2016-09-21,80,80,80,80,6000,80
2016-09-22,80,80,80,80,0,80
2016-09-23,80,80,80,80,0,80
2016-09-26,80,80,80,80,3000,80
2016-09-27,80,80,80,80,0,80
2016-09-28,80,80,80,80,0,80
2016-09-29,80,80,80,80,0,80
2016-09-30,70,70,70,70,6000,70
2016-10-03,70,70,70,70,0,70
2016-10-04,70,70,70,70,3000,70
2016-10-05,70,70,70,70,0,70
2016-10-06,70,70,70,70,0,70
2016-10-07,70,70,70,70,3000,70
2016-10-10,70,70,70,70,0,70
2016-10-13,70,70,68,68,3000,68
2016-10-14,70,75,70,75,6000,75
2016-10-17,68,68,68,68,3000,68
2016-10-18,70,70,69,69,6000,69
2016-10-19,69,69,69,69,0,69
2016-10-20,69,69,69,69,0,69
2016-10-21,68,68,68,68,3000,68
2016-10-24,68,68,68,68,0,68
2016-10-25,68,68,68,68,0,68
2016-10-26,68,68,68,68,0,68
2016-10-27,68,68,68,68,0,68
2016-10-28,68,68,68,68,0,68
2016-11-01,68,68,68,68,0,68
2016-11-02,72,72,72,72,3000,72
2016-11-03,72,72,72,72,0,72
2016-11-04,72,72,72,72,0,72
2016-11-07,72,72,72,72,0,72
2016-11-08,72,72,72,72,0,72
2016-11-09,72,72,72,72,0,72
2016-11-10,72,72,72,72,0,72
2016-11-11,72,72,72,72,0,72
2016-11-15,72,72,72,72,0,72
2016-11-16,72,72,72,72,0,72
2016-11-17,68,74.949997,65,74.949997,10500,74.949997
2016-11-18,74.949997,74.949997,74.949997,74.949997,0,74.949997
2016-11-21,74.949997,74.949997,74.949997,74.949997,0,74.949997
2016-11-22,60,63.5,60,63.5,10500,63.5
2016-11-23,63.5,63.5,63.5,63.5,0,63.5
2016-11-24,63.5,63.5,63.5,63.5,0,63.5
2016-11-25,63.5,63.5,63.5,63.5,0,63.5
2016-11-28,63.5,63.5,63.5,63.5,0,63.5
2016-11-29,63.5,63.5,63.5,63.5,0,63.5
2016-11-30,63.5,63.5,63.5,63.5,0,63.5
2016-12-01,63.5,63.5,63.5,63.5,0,63.5
2016-12-02,63.5,63.5,63.5,63.5,0,63.5
2016-12-05,63.5,63.5,63.5,63.5,0,63.5
2016-12-06,63.5,63.5,63.5,63.5,0,63.5
2016-12-07,63.5,63.5,63.5,63.5,0,63.5
2016-12-08,63.5,63.5,63.5,63.5,0,63.5
2016-12-09,68,68,68,68,1500,68
2016-12-12,68,68,68,68,0,68
2016-12-13,68,68,68,68,0,68
2016-12-14,68,68,68,68,0,68
2016-12-15,68,68,68,68,0,68
2016-12-16,68,68,68,68,0,68
2016-12-19,68,68,68,68,0,68
2016-12-20,68,68,68,68,0,68
2016-12-21,68,68,68,68,0,68
2016-12-22,56,56,56,56,3000,56
2016-12-23,56,56,56,56,0,56
2016-12-26,57,57.049999,57,57.049999,4500,57.049999
2016-12-27,57.049999,57.049999,55.5,55.5,3000,55.5
2016-12-28,55.5,58.049999,55,57,6000,57
2016-12-29,57.5,58.049999,57.25,57.75,6000,57.75
2016-12-30,57.25,58,57,57.650002,6000,57.650002
2017-01-02,57.75,66,49,61.049999,13500,61.049999
2017-01-03,52,68,52,60,10500,60
2017-01-04,60.049999,63,60.049999,63,3000,63
2017-01-05,63.099998,66,63.099998,66,3000,66
2017-01-06,66.5,66.5,66,66,4500,66
2017-01-09,66.25,66.25,66,66.050003,4500,66.050003
2017-01-10,66.25,67.25,66.099998,67.25,4500,67.25
2017-01-11,72.5,75,69.25,69.25,10500,69.25
2017-01-12,72.5,72.5,71.75,72,4500,72
2017-01-13,77.5,84,72.199997,78.75,15000,78.75
2017-01-16,79.5,79.5,78.75,79,4500,79
2017-01-17,79.75,80,79.25,79.5,6000,79.5
2017-01-18,80.25,81,79.5,81,4500,81
2017-01-19,81.25,81.5,81,81.25,4500,81.25
2017-01-20,81.25,94,81.25,94,6000,94
2017-01-23,92.75,92.75,92,92.150002,4500,92.150002
2017-01-24,91.5,91.75,91.150002,91.349998,6000,91.349998
2017-01-25,91.800003,91.800003,91.5,91.550003,6000,91.550003
2017-01-27,91.550003,92.099998,91.550003,92,6000,92
2017-01-30,91.5,92,91.5,91.5,4500,91.5
2017-01-31,91.300003,91.800003,89.5,89.75,7500,89.75
2017-02-01,97,97,95.75,95.800003,4500,95.800003
2017-02-02,100.050003,100.050003,100,100.050003,6000,100.050003
2017-02-03,90.050003,100.900002,90.050003,99,15000,99
2017-02-06,101,108.800003,101,107.050003,7500,107.050003
2017-02-07,107.25,109,105,107.75,9000,107.75
2017-02-08,108,112,108,110.050003,4500,110.050003
2017-02-09,110.099998,110.099998,107,108.050003,7500,108.050003
2017-02-10,108.050003,108.050003,107.900002,107.949997,4500,107.949997
2017-02-13,108,108,104,104.5,4500,104.5
2017-02-14,104.25,104.25,100,101,4500,101
2017-02-15,101.050003,102,100,101,4500,101
2017-02-16,101,101,98,98,6000,98
2017-02-17,97.5,103.099998,97.5,103.050003,4500,103.050003
2017-02-20,103.5,104,98.75,104,4500,104
2017-02-21,110,110,97.5,106.400002,9000,106.400002
2017-02-22,107,115,107,112,4500,112
2017-02-23,120,120,108,115.25,6000,115.25
2017-02-27,115.25,115.25,113,113.25,4500,113.25
2017-02-28,120,120,110,110,4500,110
2017-03-01,108.050003,108.050003,107.25,107.650002,4500,107.650002
2017-03-02,110.050003,110.050003,108,108.5,4500,108.5
2017-03-03,110,110,108.75,108.75,7500,108.75
2017-03-06,108.050003,108.050003,96,104.849998,7500,104.849998
2017-03-07,104.5,104.5,97,103.900002,6000,103.900002
2017-03-08,104,104,103.75,103.849998,4500,103.849998
2017-03-09,103.949997,103.949997,102,102.550003,4500,102.550003
2017-03-10,102.599998,102.599998,97,99,6000,99
2017-03-14,99,101.5,99,100.75,4500,100.75
2017-03-15,101,101,99.800003,99.900002,4500,99.900002
2017-03-16,100.050003,100.050003,99,99.400002,4500,99.400002
2017-03-17,99.75,101,99.75,100.75,4500,100.75
2017-03-20,101.25,101.349998,101.25,101.349998,4500,101.349998
