,Date,RSI,MFI,EMA,SO,MACD,Diff,IOC.NS.Close
0,2007-02-08,50.24973683462988,59.83392442104551,268.02412777330153,0.14401780643334125,-222.35765777860468,0.8129959999999983,117.862999
1,2007-02-09,50.36903973889422,59.483094674316916,266.56775156319003,0.10311487130626397,-224.53814169713786,-1.9130020000000059,115.949997
2,2007-02-12,50.5311584271307,63.59339563494164,263.13615154156133,0.0809119990667697,-226.8444503195248,-4.799994999999996,111.150002
3,2007-02-13,50.646808661096664,69.60390058009736,259.5660143222905,0.07327457545466454,-227.90886724803994,-1.3000040000000013,109.849998
4,2007-02-14,50.939331791113986,76.9909662213636,255.71854724280007,0.051908274809160264,-229.36585640549856,-2.125,107.724998
5,2007-02-15,51.20624762960252,76.77068080538385,251.9005560307482,0.11346050793650785,-231.05154324816334,-0.9379950000000008,106.787003
6,2007-02-19,50.22568980641907,57.32749063378905,249.47079758194386,0.3576272542372882,-232.20579129471724,3.487999000000002,110.275002
7,2007-02-20,49.271262161009304,37.18812783715444,247.77603466656663,0.5090179573575884,-233.92285866069994,1.0749959999999987,111.349998
8,2007-02-21,49.57170631709682,37.02304630821194,245.60445899209236,0.3196434422527293,-235.3707418001818,-2.762000999999998,108.587997
9,2007-02-22,49.63762293496784,48.34752127657103,244.7324427799751,0.6839079369797483,-235.3232066793998,2.3619999999999948,110.949997
10,2007-02-23,49.98490807269991,49.206383277559304,242.7960810609622,0.34057448525556994,-235.40683350846632,-2.9869999999999948,107.962997
11,2007-02-26,50.38354919268726,52.575503505611096,240.05997145610428,0.08373208145418609,-235.94790845250748,-3.8379970000000014,104.125
12,2007-02-27,50.24450504076904,52.89492437480082,238.4172866675824,0.1413085442921151,-235.96135823086053,0.38700099999999793,104.512001
13,2007-02-28,50.59378359091116,51.57332853898393,236.74217262677894,0.16666646586340517,-235.05107836399515,-1.1870040000000017,103.324997
14,2007-03-01,50.33668203570785,55.56969296424045,235.3321674197362,0.11140572965599899,-233.30313374782293,-0.6879959999999983,102.637001
15,2007-03-02,50.65844020952238,55.369625544252784,234.05297043095936,0.0810669333333332,-231.32215358004595,-0.47499799999999937,102.162003
16,2007-03-05,50.90742779597781,54.484407000952345,231.84518119084186,0.16628668178344988,-229.20909506252445,-1.5620049999999992,100.599998
