,Date,RSI,MFI,EMA,SO,MACD,Diff,NSEI.Close
0,2013-01-21,50.231364370969686,100.0,13311.640372545698,0.9216241105691041,-11167.528024155868,17.89990299999954,6082.299805
1,2013-01-22,50.20112453701839,43.28490711301493,13321.132150877876,0.6205544965417631,-11192.56194988292,-33.79980499999965,6048.5
2,2013-01-23,50.2243046008669,60.902955098103696,13336.674192968949,0.5848045790436533,-11208.783505943082,5.799804999999651,6054.299805
3,2013-01-24,50.22130693416101,46.10475095907849,13340.81419550462,0.27606078521033683,-11233.209532945335,-34.94970699999976,6019.350098
4,2013-01-25,50.2330157113373,49.86540248587141,13365.685633002915,0.7645762192653061,-11242.363879250035,55.29980400000022,6074.649902
5,2013-01-28,50.270746511681914,55.86880600309357,13377.539333261764,0.7164250070896416,-11246.953578898028,0.14990299999954004,6074.799805
6,2013-01-29,50.216303939757125,45.71051080448468,13375.432330024218,0.40452065920686353,-11253.289385100386,-24.89990299999954,6049.899902
7,2013-01-30,50.183348383328784,43.504693996436984,13384.093012085981,0.46079881687401214,-11280.47284043649,5.850097999999889,6055.75
8,2013-01-31,50.114067228924064,36.21346876234147,13379.921311631828,0.2587780454253726,-11313.038261368456,-21.0,6034.75
9,2013-02-01,50.153902112668625,38.06104205851205,13361.058237692725,0.12208207318824565,-11332.045560267841,-35.85009799999989,5998.899902
10,2013-02-04,50.180230638979005,41.06080260085528,13337.495795716686,0.045959471176536926,-11361.932133856033,-11.649902000000111,5987.25
11,2013-02-05,50.20691133304989,37.8724513281648,13311.665912348213,0.06064284949882613,-11391.385678676934,-30.35009799999989,5956.899902
12,2013-02-06,50.15974815136372,43.008023310643615,13288.09952296335,0.0745924817190479,-11422.299317152309,2.300293000000238,5959.200195
13,2013-02-07,50.19027348847739,46.78670502040722,13265.594463807913,0.07758711100831284,-11435.417999333662,-20.400390000000698,5938.799805
14,2013-02-08,50.210377325795704,46.29436147080549,13225.263285461704,0.11381943257158773,-11448.55079052485,-35.29980499999965,5903.5
15,2013-02-11,50.28029901509341,46.47594020864255,13186.271223872296,0.1078515360276155,-11453.99643800143,-5.649902000000111,5897.850098
