,Date,RSI,MFI,EMA,SO,MACD,Diff,BEL.NS.Close
0,2007-02-08,52.2177273645558,84.62198636455751,99.02859358757154,0.807932753412673,-72.91068749455879,0.37279899999999344,50.806098999999996
1,2007-02-09,51.330434524155194,73.88051145946359,100.47849705481335,0.6080995493785384,-72.54429529997861,-2.4212989999999976,48.3848
2,2007-02-12,50.54467969820962,71.02107264036113,101.40755289659442,0.5409520822673028,-72.37798958361385,-0.8135989999999964,47.571201
3,2007-02-13,51.118094234234334,71.48414209996643,102.43549191892282,0.5653399468497761,-72.57297255981543,0.29549799999999493,47.866699
4,2007-02-14,50.896506383326056,67.79453068922643,103.97575814854764,0.6862567056765095,-72.95033274204405,1.4650999999999996,49.331799
5,2007-02-15,51.527615318152684,68.28086177939018,106.44862699235941,0.8947911856367151,-73.16853644957094,3.0,52.331799
6,2007-02-19,51.18009450417272,70.07443750210433,108.28398602880834,0.6891854663095727,-73.52316331443487,-1.2515,51.080299
7,2007-02-20,50.47909815022708,70.00323842202775,109.5690786942302,0.5606975269894041,-73.94604590378441,-0.9075999999999951,50.172699
8,2007-02-21,49.81559254686136,69.76925326845253,110.03506489154225,0.43886332626338137,-74.48730411428454,-0.8606000000000051,49.312098999999996
9,2007-02-22,49.22360840936704,62.077530049152784,109.40552900974572,0.27755971447250416,-75.12367965184048,-1.1393999999999949,48.172699
10,2007-02-23,49.80182203780715,66.01923514522812,108.4832226260494,0.13538338555053517,-76.38109548428508,-0.9256969999999995,47.247002
11,2007-02-26,50.40686734644979,68.50616376307921,107.97980524528262,0.25375169213268706,-78.3830328015177,-0.14700400000000258,47.099998
12,2007-02-27,50.64884660911574,64.9259337098611,108.16649119409668,0.4450688084618782,-80.13718487655647,1.5833020000000033,48.6833
13,2007-02-28,50.73986706702331,58.293383809577826,107.48968285254391,0.457261120368116,-81.70745941745405,-2.560600000000001,46.1227
14,2007-03-01,50.34883076471733,44.07391020718106,106.91929413340358,0.5215480519472359,-83.03644698924359,0.8181989999999999,46.940899
15,2007-03-02,50.533068217688545,49.52753044353871,105.36364705555869,0.47566374545754336,-84.50039060607605,-1.7514990000000026,45.1894
