"Date","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
2007-03-21,515.400024,525,512.088013,523.487,4629356,290.910522
2007-03-22,527.5,536.25,525,529.763,3987172,294.398224
2007-03-23,530,533.75,520.25,523.150024,5438640,290.723236
2007-03-26,526.25,526.25,510.049988,514.536987,7974300,285.936859
2007-03-28,507.5,507.5,497,498.013,10736952,276.754089
2007-03-29,490.475006,507.25,489.774994,497.674988,12963596,276.566345
2007-03-30,498.75,507.424988,498.75,504.662994,7246776,280.449707
2007-04-02,500,500,478,480.737,7369440,267.153534
2007-04-03,481.25,493.625,477.5,491.162994,8776880,272.94754
2007-04-04,495,499.962006,487.549988,498.575012,6044792,277.066498
2007-04-05,497.5,499.975006,486.412994,498.075012,3064900,276.788605
2007-04-09,490,513.5,490,511.888,3056072,284.464722
2007-04-10,512.5,516,495.274994,499.712006,5925816,277.698334
2007-04-11,501.25,509.75,496.937988,499.062012,6162384,277.337158
2007-04-12,497.25,513.974976,490,511.462006,9012940,284.228027
2007-04-13,525,533,506.587006,521.724976,18548072,289.931213
2007-04-16,537.5,539,521.75,532.174988,6711640,295.738556
2007-04-17,527.5,532,516.513,520.687988,6889684,289.355042
2007-04-18,521.625,524.674988,515.799988,519.075012,4745808,288.458649
2007-04-19,512.536987,514.349976,506.312012,509.975006,6344824,283.401703
2007-04-20,523.700012,523.700012,512.286987,513.775024,3950612,285.513367
2007-04-23,519.937988,519.937988,515.036987,517.312012,3102260,287.479004
2007-04-24,506.375,518.450012,506.25,514.474976,5217952,285.902344
2007-04-25,511.5,512.5,503,504.625,5884752,280.428558
2007-04-26,508.75,512.474976,502,504.712006,5796012,280.476898
