,Date,Open,High,Low,Close,Volume,Adjusted,Diff,RSI,Typical Price,MF,MFI,EMA,SO,EMA12,EMA26,MACD,Signal Line
0,2015-01-02,0.4,0.45,0.4,0.4,4100,0.4,,,0.4166666666666667,1708.3333333333335,,,,,,,
1,2015-01-05,0.45,0.45,0.4,0.45,22869,0.45,0.04999999999999999,,0.43333333333333335,9909.9,,,,,,,
2,2015-01-06,0.45,0.45,0.45,0.45,2000,0.45,0.0,,0.45,900.0,,,,,,,
3,2015-01-07,0.4,0.4,0.4,0.4,10753,0.4,-0.04999999999999999,,0.4000000000000001,4301.200000000001,,,,,,,
4,2015-01-08,0.4,0.4,0.35,0.4,2100,0.4,0.0,,0.3833333333333333,804.9999999999999,,,,,,,
5,2015-01-09,0.35,0.4,0.35,0.35,7300,0.35,-0.050000000000000044,,0.3666666666666667,2676.666666666667,,,,,,,
6,2015-01-12,0.3,0.3,0.3,0.3,1500,0.3,-0.04999999999999999,,0.3,450.0,,,0.0,,,,
7,2015-01-13,0.3,0.3,0.3,0.3,0,0.3,0.0,,0.3,0.0,,,0.0,,,,
8,2015-01-14,0.3,0.3,0.3,0.3,0,0.3,0.0,,0.3,0.0,,,0.0,,,,
9,2015-01-15,0.3,0.3,0.3,0.3,3000,0.3,0.0,,0.3,900.0,,0.7816950959644738,0.0,,,,
10,2015-01-16,0.35,0.35,0.35,0.35,4497,0.35,0.04999999999999999,,0.3499999999999999,1573.9499999999996,,0.7759198298671519,0.4999999999999997,,,,
11,2015-01-19,0.3,0.3,0.3,0.3,6501,0.3,-0.04999999999999999,,0.3,1950.3,,0.7462164464626061,0.0,0.8689053304841367,,,
12,2015-01-20,0.35,0.35,0.35,0.35,100,0.35,0.04999999999999999,,0.3499999999999999,34.99999999999999,,0.7340598289668256,1.0,0.8631629033620442,,,
13,2015-01-21,0.3,0.3,0.3,0.3,300,0.3,-0.04999999999999999,,0.3,90.0,,0.7138004998089209,0.0,0.835068437996534,,,
14,2015-01-22,0.3,0.3,0.3,0.3,11000,0.3,0.0,51.86385737439223,0.3,3300.0,50.55292740352601,0.6947804917206475,0.0,0.8081875618963545,,,
15,2015-01-23,0.3,0.3,0.3,0.3,0,0.3,0.0,50.66445182724252,0.3,0.0,30.5984326037957,0.6847181018972593,0.0,0.7901051594594783,,,
16,2015-01-27,0.3,0.3,0.3,0.3,0,0.3,0.0,49.40374787052811,0.3,0.0,27.95810057637071,0.683206769133771,0.0,0.7727322409728021,,,
17,2015-01-28,0.3,0.3,0.3,0.3,1000,0.3,0.0,50.59288537549407,0.3,300.0,34.863709174523194,0.6819702241454624,0.0,0.7637312454981656,,,
18,2015-01-29,0.3,0.3,0.25,0.3,507,0.3,0.0,49.79919678714859,0.2833333333333334,143.65000000000003,32.61656006211088,0.6809585055186642,0.5,0.7628503969383756,,,
19,2015-01-30,0.3,0.3,0.25,0.3,1500,0.3,0.0,50.74626865671642,0.2833333333333334,425.00000000000006,42.24003238722981,0.6801307357331025,1.0,0.7621050635416304,,,
20,2015-02-02,0.3,0.3,0.3,0.3,0,0.3,0.0,50.68493150684931,0.3,0.0,35.294988213156856,0.6715098412460923,1.0,0.7614743968213075,,,
21,2015-02-03,0.3,0.3,0.3,0.3,2000,0.3,0.0,50.68493150684931,0.3,600.0,37.283932907773796,0.6711779137578224,1.0,0.7609407557502651,,,
22,2015-02-04,0.3,0.3,0.25,0.3,5070,0.3,0.0,50.68493150684931,0.2833333333333334,1436.5000000000002,41.58303866691481,0.6629627084231422,1.0,0.7527176228667437,,,
23,2015-02-05,0.3,0.3,0.3,0.3,1007,0.3,0.0,50.68493150684931,0.3,302.09999999999997,39.86737400530504,0.6629627084231422,1.0,0.7524949657302054,,,
24,2015-02-06,0.3,0.3,0.3,0.3,110,0.3,0.0,50.3448275862069,0.3,33.0,34.943043675815275,0.6629627084231422,1.0,0.7445349730989569,,,
25,2015-02-09,0.3,0.3,0.3,0.3,100,0.3,0.0,50.318471337579616,0.3,30.0,84.95225233915308,0.6629627084231422,1.0,0.7445349730989569,1.4262988477918581,-0.6817638746929012,
26,2015-02-10,0.3,0.3,0.3,0.3,0,0.3,0.0,49.99999999999999,0.3,0.0,84.8842091663706,0.6629627084231422,1.0,0.7445349730989569,1.4109709326884705,-0.6664359595895136,
27,2015-02-11,0.3,0.3,0.3,0.3,0,0.3,0.0,,0.3,0.0,,0.6629627084231422,1.0,0.7445349730989569,1.3885160886933468,-0.6439811155943899,
