"Date","ITDC.BO.Open","ITDC.BO.High","ITDC.BO.Low","ITDC.BO.Close","ITDC.BO.Volume","ITDC.BO.Adjusted"
2007-01-02,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-03,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-04,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-05,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-08,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-09,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-10,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-11,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-12,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-15,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-16,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-17,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-18,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-19,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-22,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-23,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-24,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-25,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-29,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-01-31,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-01,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-02,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-05,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-06,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-07,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-08,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-09,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-12,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-13,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-14,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-15,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-19,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-20,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-21,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-22,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-23,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-26,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-27,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-02-28,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-01,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-02,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-05,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-06,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-07,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-08,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-09,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-12,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-13,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-14,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-15,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-16,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-19,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-20,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-21,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-22,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-23,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-26,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-28,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-29,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-03-30,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-02,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-03,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-04,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-05,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-09,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-10,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-11,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-12,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-13,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-16,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-17,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-18,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-19,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-20,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-23,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-24,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-25,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-26,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-27,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-04-30,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-03,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-04,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-07,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-08,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-09,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-10,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-11,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-14,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-15,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-16,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-17,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-18,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-21,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-22,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-23,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-24,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-25,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-28,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-29,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-30,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-05-31,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-04,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-05,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-06,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-07,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-08,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-11,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-12,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-13,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-14,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-15,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-18,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-19,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-20,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-21,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-22,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-25,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-26,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-27,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-28,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-06-29,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-07-02,74.400002,74.400002,74.400002,74.400002,0,72.439545
2007-07-03,78.099998,78.099998,78.099998,78.099998,300,76.042053
