"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2007-04-27,604.385,604.385,588.261,508.850006,182872,438.645477
2007-04-30,588.725,593.597,582.75,509.75,222281,439.421295
2007-05-03,591.625,607.865,591.625,513.950012,593268,443.04187
2007-05-04,600.905,607.807,595.801,515.700012,463422,444.550415
2007-05-07,599.745,602.993,592.785,512.549988,176352,441.834991
2007-05-08,596.149,597.425,583.968,505.649994,122299,435.886902
2007-05-09,585.824,606.125,583.794,520.299988,502392,448.515747
2007-05-10,607.865,610.766,594.003,515.150024,512526,444.076294
2007-05-11,587.449,597.309,584.78,508.950012,311677,438.731689
2007-05-14,592.843,605.545,587.275,511.350006,777962,440.800537
2007-05-15,591.625,596.265,585.94,508.600006,407565,438.429962
2007-05-16,636.751,636.751,585.07,506.649994,537745,436.748993
2007-05-17,597.425,597.425,587.274,509.850006,1142832,439.507538
2007-05-18,593.829,600.325,584.664,511.299988,600253,440.757385
2007-05-21,594.061,643.827,593.945,551.599976,2478977,475.497284
2007-05-22,648.467,657.4,633.444,552.200012,1956625,476.014587
2007-05-23,641.507,677.816,626.6,569.700012,3743669,491.10022
2007-05-24,660.88,667.492,634.546,552,1713905,475.842224
2007-05-25,636.867,649.395,598.585,555.400024,920945,478.773163
2007-05-28,678.628,678.628,635.823,550.599976,494885,474.635315
2007-05-29,642.551,653.977,640.347,555.650024,668544,478.988647
2007-05-30,643.827,643.943,617.146,534.099976,489195,460.411774
2007-05-31,622.946,631.066,614.826,538.150024,599715,463.903046
2007-06-01,632.342,637.737,625.846,541.950012,320629,467.178772
2007-06-04,613.666,635.649,613.666,541.150024,231960,466.489075
2007-06-05,627.876,641.507,618.306,550.450012,464437,474.506042
2007-06-06,641.275,641.507,619.466,536.049988,382981,462.092743
2007-06-07,621.786,628.514,610.301,528.5,467451,455.584412
2007-06-08,604.385,611.926,600.905,520.650024,318263,448.817474
2007-06-11,613.55,617.03,597.425,516.849976,368383,445.541718
