"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2007-01-02,40.696999,41.424198,39.848499,41.075802,3483447,0.213334
2007-01-03,41.363602,41.363602,39.818199,40.419701,4706229,0.209926
2007-01-04,40.848499,41.0303,39.8848,40.4515,3159651,0.210092
2007-01-05,40.303001,40.663601,39.248501,39.6591,3854862,0.205976
2007-01-08,39.696999,39.696999,38.818199,39.021198,1169388,0.202663
2007-01-09,39.0909,39.392399,38.333302,38.680302,3098865,0.200893
2007-01-10,38.9394,38.9394,38.0909,38.516701,1119360,0.200043
2007-01-11,38.636398,39.0606,37.362099,38.759102,1616967,0.201302
2007-01-12,39.0909,40.5303,39.0909,39.812099,3143646,0.206771
2007-01-15,39.215099,40.454601,39.0909,39.224201,3687783,0.203717
2007-01-16,38.821201,39.636398,38.637901,38.806099,2188593,0.201546
2007-01-17,38.9394,40.1455,38.545399,39.6394,2532057,0.205874
2007-01-18,40.151501,40.4576,39.0909,39.557598,2321715,0.205449
2007-01-19,39.696999,39.848499,38.787899,39.495399,1668777,0.205126
2007-01-22,39.848499,39.848499,39.001499,39.6152,1701414,0.205748
2007-01-23,39.454601,40.259102,38.636398,39.480301,3036198,0.205047
2007-01-24,39.693901,42.269699,39.393902,41.763599,7832913,0.216906
2007-01-25,41.893902,43.757599,40.724201,42.781799,10556370,0.24573
2007-01-29,42.787899,43.393902,41.063599,42.4212,3040818,0.243658
2007-01-31,42.545399,42.687901,41.333302,41.7742,3571293,0.239942
2007-02-01,41.757599,42.151501,41.0303,41.275799,2761902,0.23708
2007-02-02,41.687901,42.454601,41.454601,41.668201,2403522,0.239333
2007-02-05,41.515099,43.057598,41.151501,42.672699,6801828,0.245103
2007-02-06,42.247002,47.121201,41.016701,45.7985,21736935,0.263057
2007-02-07,45.7985,51.0303,45.515099,50.4333,31537308,0.289678
2007-02-08,50.606098,53.133301,46.9697,50.806099,23444454,0.29182
2007-02-09,50.757599,51.545399,48.181801,48.3848,14709453,0.277912
2007-02-12,48.424198,50.727299,46.821201,47.571201,5515851,0.273239
2007-02-13,47.539398,49.843899,46.212101,47.866699,3745599,0.274936
2007-02-14,48.0303,49.848499,46.303001,49.331799,4508889,0.283351
2007-02-15,50,53.0303,49.431801,52.331799,8547528,0.300583
2007-02-19,53.0303,53.275799,50.6091,51.080299,3691347,0.293394
2007-02-20,50.9697,51.5121,49.751499,50.172699,2653860,0.288181
2007-02-21,51.212101,53.0303,49.098499,49.312099,3316896,0.283238
2007-02-22,49.333302,50.575802,47.4258,48.172699,15807924,0.276694
2007-02-23,48.151501,48.784901,46.696999,47.247002,4761900,0.271377
2007-02-26,47.272701,47.484901,45,47.099998,6392628,0.270533
2007-02-27,47.242401,49.2197,46.215099,48.6833,6137373,0.279627
2007-02-28,40.303001,49.0303,40.303001,46.1227,4431900,0.264919
2007-03-01,46.393902,47.424198,45.509102,46.940899,3651318,0.269619
2007-03-02,46.002998,47.727299,44.849998,45.1894,3039729,0.259558
2007-03-05,44.799999,44.9697,42.462101,44.356098,5739063,0.254772
2007-03-06,45.151501,46.575802,43.787899,45.6409,2034186,0.262152
2007-03-07,46.212101,46.509102,42.878799,43.465099,5003658,0.249654
2007-03-08,44.333302,45.827301,42.275799,45.4879,1960134,0.261273
2007-03-09,45.818199,46.618198,44.151501,45.619701,1878492,0.26203
2007-03-12,45.7561,47.212101,45.1712,46.0424,1109130,0.264458
2007-03-13,45.424198,47.033298,45.424198,45.836399,1417581,0.263275
2007-03-14,45.757599,46.0182,43.0606,44.056099,2840442,0.253049
2007-03-15,44.678799,45.6651,43.6409,43.887901,1374813,0.252083
2007-03-16,43.787899,44.4939,42.454601,42.878799,2323035,0.246287
2007-03-19,43.063599,44.515099,42.878799,44.1833,570405,0.25378
2007-03-20,44.303001,46.5303,44,46.162102,4735698,0.265145
2007-03-21,46.363602,46.497002,45.0909,45.553001,2435004,0.261647
2007-03-22,45.757599,46.787899,45.646999,45.878799,3149421,0.263518
2007-03-23,46,47.6348,45.303001,46.9758,3512586,0.269819
2007-03-26,47.230301,47.727299,45.848499,46.068199,2075799,0.264606
2007-03-28,44.2258,46.315201,44.2258,45.410599,979836,0.260829
2007-03-29,45.696999,46.9394,44.396999,44.856098,3029400,0.257644
2007-03-30,44.606098,45.818199,43.727299,45.575802,4676892,0.261778
2007-04-02,44.545399,44.997002,43.492401,44.196999,2089230,0.253858
2007-04-03,44.242401,46.478802,43.666698,45.856098,4756686,0.263388
2007-04-04,46.666698,48.393902,45.606098,47.9879,4737183,0.275632
2007-04-05,47.878799,50.606098,47.0303,50.095501,6835257,0.287738
2007-04-09,50.454601,53.0303,50.454601,52.093899,6691245,0.299216
2007-04-10,52.272701,52.727299,50.153,50.851501,9687645,0.29208
2007-04-11,50.9091,52.0909,50.121201,50.325802,4817802,0.289061
2007-04-12,50.363602,50.4515,49.545399,49.818199,2281851,0.286145
2007-04-13,50,51.515099,49.454601,51.252998,2008050,0.294387
2007-04-16,51.515099,53.787899,51.515099,53.502998,5765760,0.30731
2007-04-17,53.636398,54.393902,50.242401,50.5546,10926201,0.290375
2007-04-18,50.9697,52.515099,50.333302,51.322701,10551915,0.294787
2007-04-19,50.303001,52.727299,50.0121,52.5909,6808362,0.302071
2007-04-20,52.787899,53.172699,51.581799,52.049999,5585547,0.298964
2007-04-23,51.818199,52.669701,50.972698,51.212101,2950299,0.294152
2007-04-24,50.033298,51.454601,49.757599,49.959099,9458097,0.286955
2007-04-25,50.181801,51.181801,48.789398,50.331799,5188194,0.289095
2007-04-26,50.727299,51.215099,49.0924,50.240898,5840736,0.288573
2007-04-27,50.748501,51.757599,50.0909,51.1152,3082101,0.293595
2007-04-30,51.121201,52.3894,50.757599,52.069698,2939013,0.299077
2007-05-03,52.121201,53.396999,51.830299,52.821201,4032402,0.303394
2007-05-04,53.0303,53.507599,51.878799,52.162102,1738869,0.299608
2007-05-07,52.848499,52.848499,51.212101,51.3409,1403952,0.294891
2007-05-08,51.0606,51.9076,50.3046,50.7561,1736229,0.291532
2007-05-09,50.606098,50.875801,49.233299,50.133301,3376296,0.287955
2007-05-10,50.303001,51.051498,49.125801,49.519699,2368410,0.284431
2007-05-11,49.166698,50.721199,46.396999,50.071201,3439689,0.287598
2007-05-14,50.9091,51.212101,50,50.1758,1017291,0.288199
2007-05-15,49.727299,50.666698,49.454601,50.172699,1409925,0.288181
2007-05-16,50,51.484901,48.821201,51.063599,7121961,0.293299
2007-05-17,50.9697,52.597,50.515099,50.6227,2858196,0.290766
2007-05-18,50.242401,51.0606,49.454601,50.613602,1577928,0.290714
2007-05-21,50.636398,51.9697,50.306099,51.281799,2843478,0.294552
2007-05-22,51.272701,51.9091,50.033298,51.740898,2914857,0.297189
2007-05-23,53,53,50.712101,51.748501,5483643,0.297233
2007-05-24,51.283298,52.118198,50.9697,51.442402,1458501,0.295474
2007-05-25,50.454601,52.0303,49.271198,51.312099,1713030,0.294726
2007-05-28,52.5546,53.0303,51.515099,52.715099,2690028,0.302784
2007-05-29,52.727299,53.606098,52.431801,52.7379,2803944,0.302915
2007-05-30,52.424198,55.606098,51.6576,55.051498,10909899,0.316204
2007-05-31,55.696999,56.212101,54.343899,54.7682,10922538,0.314577
2007-06-01,55.515099,57.727299,54.997002,57.269699,11144991,0.328945
2007-06-04,57.575802,59.696999,55.363602,55.5667,6173607,0.319163
2007-06-05,55.575802,56.6273,54.275799,55.8106,2597397,0.320564
2007-06-06,57.483299,57.483299,54.2439,54.498501,2947098,0.313028
2007-06-07,52.4515,55.212101,52.4515,54.281799,3380091,0.311783
2007-06-08,53.037899,56.303001,52.654499,54.702999,3060189,0.314203
2007-06-11,55.0909,56.0546,54.583302,55.674198,2660196,0.319781
2007-06-12,55.878799,57.118198,53.790901,54.9151,14996487,0.315421
2007-06-13,54.9091,55.633301,54.001499,54.3909,3121206,0.31241
2007-06-14,54.990898,55.448502,54.575802,54.9939,1720983,0.315873
2007-06-15,55.151501,55.845501,54.821201,55.028801,2725536,0.316074
2007-06-18,55.606098,55.754601,54.696999,54.9258,1496649,0.315482
2007-06-19,54.857601,55.272701,54.002998,54.853001,2250006,0.315064
2007-06-20,55.606098,56.303001,54.734901,55.974201,3618318,0.321504
2007-06-21,56.303001,57.121201,56.097,56.690899,4058868,0.325621
2007-06-22,56.818199,57.9394,56.668201,57.063599,6000423,0.327761
2007-06-25,57.063599,57.3909,55,57.190899,3654783,0.328492
2007-06-26,57.190899,57.666698,56.5606,56.7803,2836152,0.326134
2007-06-27,56.930302,57.545399,55.3106,55.7924,1407516,0.32046
2007-06-28,56.212101,56.356098,54.636398,55.077301,5332503,0.316352
2007-06-29,55.575802,56.136398,55.333302,55.4879,2626602,0.318711
2007-07-02,56.027302,58.575802,55.787899,57.801498,6392529,0.332
2007-07-03,57.878799,59.0303,57.636398,57.851501,3000723,0.332287
2007-07-04,58.303001,58.333302,56.912102,57.507599,2723952,0.330312
2007-07-05,57.696999,59.072701,56,56.849998,2021514,0.326534
2007-07-06,56.363602,57.757599,56.0909,56.318199,3852453,0.32348
2007-07-09,56.818199,56.928799,55.9091,56.1091,1704285,0.322279
2007-07-10,56.363602,56.468201,54.696999,55.0439,7948017,0.316161
2007-07-11,53.868198,55.572701,53.868198,54.7439,2809587,0.314438
2007-07-12,55.303001,55.6045,54.393902,54.836399,4299141,0.314969
2007-07-13,55.454601,55.666698,54.9091,55.202999,5813478,0.317074
2007-07-16,54.848499,56.424198,54.687901,55.677299,1860771,0.319799
2007-07-17,56.0606,56.618198,55.303001,55.4076,2386659,0.31825
2007-07-18,55.424198,55.593899,54.089401,54.528801,1849683,0.313202
2007-07-19,55.454601,55.454601,54.424198,54.75,1239216,0.314472
2007-07-20,55.424198,55.636398,54.878799,55.033298,1918191,0.3161
2007-07-23,55.019699,56.666698,54.636398,56.424198,3266076,0.324089
2007-07-24,56.515099,57.290901,55.4151,55.839401,2491038,0.32073
2007-07-25,55,56.424198,54.454601,55.4879,1986897,0.318711
2007-07-26,55.154499,56.0546,54.484901,54.734901,5012568,0.314386
2007-07-27,54.242401,54.322701,52.242401,52.462101,3568257,0.301331
2007-07-30,51.848499,53.272701,51.0606,52.0546,3075600,0.298991
2007-07-31,53.0909,53.9394,49.727299,53.571201,2825790,0.307702
2007-08-01,52.121201,52.121201,49.0924,49.5485,5611815,0.284596
2007-08-02,50.287899,50.287899,48.825802,49.5909,2556609,0.28484
2007-08-03,50.242401,51.121201,50.0667,50.633301,3157341,0.290827
2007-08-06,50.151501,52.0606,48.151501,51.2682,1748076,0.294474
2007-08-07,51.519699,52.424198,50.636398,51.025799,3159090,0.293081
2007-08-08,51.272701,52.9697,50,51.101501,1157475,0.293516
2007-08-09,51.545399,52.1152,49.5909,49.8288,1370523,0.286206
2007-08-10,49.727299,52.8606,47.337898,50.878799,3213639,0.292237
2007-08-13,51.212101,51.424198,50.242401,50.789398,1014321,0.291724
2007-08-14,50.606098,50.9091,50.333302,50.646999,375705,0.290906
2007-08-16,49.0909,50.751499,48.1152,49.045399,2809653,0.281707
2007-08-17,49.9394,50.484901,47.137901,49.4258,2332506,0.283891
2007-08-20,50.121201,51.168201,49.636398,50.403,2005443,0.289504
2007-08-21,50.757599,50.757599,48.849998,49.166698,539748,0.282403
2007-08-22,49.168201,49.848499,48.643902,49.212101,1788798,0.282664
2007-08-23,51.515099,51.672699,49.242401,49.621201,4437807,0.285014
2007-08-24,49.393902,50.515099,49.393902,50.1954,1265286,0.288312
2007-08-27,50.666698,51.666698,50.0606,51.437901,2061147,0.295449
2007-08-28,52.272701,52.272701,50.319698,51.866699,760980,0.297911
2007-08-29,51.177299,52.9091,50.4151,51.687901,2238291,0.296884
2007-08-30,52.878799,52.878799,50.192402,50.537899,3771768,0.290279
2007-08-31,50.606098,51.818199,50.1576,51.460602,3358707,0.295579
2007-09-03,51.5121,53.272701,51.393902,53.156101,2009238,0.305317
2007-09-04,53.151501,54.295399,53.151501,53.656101,2695077,0.308189
2007-09-05,53.484901,54.212101,52.575802,52.931801,1478631,0.304029
2007-09-06,52.666698,53.178799,52.272701,52.404499,731940,0.301001
2007-09-07,52.575802,52.875801,51.986401,52.227299,4295313,0.409338
2007-09-10,52.0606,53.599998,51.545399,53.230301,1351251,0.4172
2007-09-11,53.545399,53.781799,52.696999,53.212101,2055471,0.417057
2007-09-12,53.333302,53.930302,53.0303,53.331799,2158266,0.417995
2007-09-13,53.466702,54.212101,53.242401,53.378799,1605780,0.418364
2007-09-14,53.787899,54.242401,52.575802,52.833302,510477,0.414088
2007-09-17,52.733299,53.727299,52.727299,53.545399,2026992,0.419669
2007-09-18,53.484901,55.8106,53.4818,55.581799,4025439,0.43563
2007-09-19,55.454601,57.545399,54.878799,55.204601,2286735,0.432674
2007-09-20,55.454601,56.0909,54.696999,54.8894,1791273,0.430203
2007-09-21,55,55.454601,54.848499,55.136398,1428504,0.432139
