Date,Open,High,Low,Close,Volume,Adjusted,Diff,RSI,Typical Price,MF,MFI,EMA,SO,EMA12,EMA26,MACD,Signal Line
2018-05-09,2590.0,2645.0,2540.0,2555.100098,2480681.0,2555.100098,-5.25,50.200126313504455,2580.033366,6400239750.402246,33.04707569902604,5635.635253288136,0.2351167036663288,6296.542837429421,10897.224102492573,-4600.681265063153,-9383.910285912223
2018-05-10,2560.0,2583.45,2463.0,2474.600098,1693538.0,2474.600098,-80.5,50.20574573512758,2507.0166993333332,4245728046.9555745,30.506385838770157,5625.309232894393,0.056365879494654415,6288.758398513173,10915.823622076552,-4627.065223563379,-9438.104497628068
2018-05-11,2478.0,2515.0,2433.0,2477.850098,1325718.0,2477.850098,3.25,50.033882482894356,2475.283366,3281527713.4067883,30.71325365602638,5607.489042472138,0.19020397794741245,6285.2968022335945,10938.064752055647,-4652.767949822052,-9488.724224018964
2018-05-14,2485.0,2498.05,2423.0,2437.800049,466802.0,2437.800049,-40.05004899999994,50.24160309712045,2452.9500163333337,1145041973.524433,34.05544300256794,5575.011914806451,0.06021175345809574,6269.961489888858,10948.182000520474,-4678.220510631616,-9537.698471449265
2018-05-15,2441.0,2482.0,2388.4,2400.449951,927796.0,2400.449951,-37.35009799999989,50.30987961951893,2423.6166503333334,2248621833.7126656,32.93463905654846,5535.615913563386,0.04297414764621955,6235.217356792687,10936.963793410365,-4701.746436617678,-9585.5938293429
2018-05-16,2395.0,2470.25,2381.55,2457.25,812412.0,2457.25,56.80004899999993,50.309174736136924,2436.35,1979319976.1999998,34.21955434604419,5516.411545548229,0.2635335073977365,6215.639264467645,10934.853081600268,-4719.213817132622,-9630.569239824914
2018-05-17,2480.0,2485.0,2433.6,2449.899902,623106.0,2449.899902,-7.350097999999889,50.38661738963678,2456.166634,1530452166.645204,34.47112308650769,5496.716042446738,0.2594416473714176,6196.727443400167,10934.9666249038,-4738.239181503633,-9674.39399684545
nan,2449.899902,2498.5486233382735,2447.1486233382734,2446.8204370875856,333973.0,nan,-3.079464912414551,50.4075594165132,2464.172561254711,822967102.7999196,37.167979304184165,5474.212542294561,0.32328101578794205,6176.479723594926,10926.254351407333,-4749.774627812407,-9715.723978655253
nan,2446.8204370875856,2472.7299226276737,2421.3299226276736,2445.1944588561555,812412.0,nan,-1.6259782314300537,50.51381128538417,2446.418101370501,1987499422.5706115,36.25280787735656,5446.059454773361,0.4769161397988416,6157.334329712827,10918.736448256392,-4761.402118543565,-9754.026221863149
nan,2445.1944588561555,2471.158557856843,2419.758557856843,2451.171189202835,812412.0,nan,5.9767303466796875,50.318225591842925,2447.362768305507,1988266881.3246136,37.25573393664275,5428.1230838810425,0.5950599008463726,6137.770028955527,10910.342902312856,-4772.572873357329,-9790.886926243853
nan,2451.171189202835,2477.0347571570423,2419.6580268103626,2459.244919671585,812412.0,nan,8.07373046875,50.315485842099456,2451.9792345463297,1992017353.8962529,35.20790449946311,5414.1667163954035,0.6640669561294655,6114.986156849034,10905.228407394061,-4790.242250545027,-9826.64565511411
nan,2459.244919671585,2488.1143003058282,2422.6638394903985,2470.235288514664,812412.0,nan,10.990368843078613,50.156713585325654,2460.337809436963,1998807960.4403021,37.2105270710893,5416.669917081998,0.7580028378475145,6102.818352192477,10898.099715024042,-4795.281362831565,-9857.177335008299
nan,2470.235288514664,2503.063088686135,2426.6222590276266,2478.9850157638093,812412.0,nan,8.749727249145508,49.94442582266004,2469.5567878258566,2006297569.1111798,36.30975037438625,5420.86206101995,0.7113116113001785,6093.995739793811,10896.92866761855,-4802.932927824739,-9883.886111031676
nan,2478.9850157638093,2517.162949230829,2431.972392323175,2490.712973489334,812412.0,nan,11.727957725524902,50.109557619405685,2479.949438347779,2014740683.1069958,45.363510065787125,5434.391543333491,0.7287318928634643,6100.849431511795,10899.432013666532,-4798.582582154737,-9903.357777060415
